Nome;Indirizzo;Città;Nazione;Prezzo;Prezzo Medio;Tipo di cucina;Longitude;Latitude;Prenotazione Online;Delivery
L'Oiseau Blanc;19 avenue Kléber;Paris; France;€€€€;100;Creative;22933134;488707602;SI;NO
Maison Nouvelle;11 rue Rode;Bordeaux; France;€€€€;100;Modern Cuisine;-5721376;448524805;NO;NO
La Côte Saint-Jacques;14 faubourg de Paris;Joigny; France;€€€€;100;Modern Cuisine;33853151;479833796;NO;NO
La Table de Pavie;5 place du Clocher;Saint-Emilion; France;€€€€;100;Creative;-1566263;448934495;NO;SI
Blanc;52 rue de Longchamp;Paris; France;€€€€;100;Creative;22874808;488651172;NO;NO
La Table de Franck Putelat;80 chemin des Anglais;Carcassonne; France;€€€€;100;Modern Cuisine, Creative;23603104;432013363;NO;NO
La Table de Yoann Conte;13 vieille route des Pensières;Veyrier-du-Lac; France;€€€€;100;Creative;61721868;458889235;NO;NO
Auberge de l'Ill;2 rue de Collonges-au-Mont-d'Or;Illhaeusern; France;€€€€;100;Classic Cuisine;7433043;481844003;NO;SI
La Table d'Olivier Nasti;9-13 rue du Général-de-Gaulle;Kaysersberg; France;€€€€;100;Creative;7265581;481386233;NO;NO
Anne de Bretagne;Port de Gravette;La Plaine-sur-Mer; France;€€€€;100;Creative;-22134222;471547317;NO;SI
L'Auberge des Glazicks;7 rue de la Plage;Plomodiern; France;€€€€;100;Creative;-42345193;481805696;NO;NO
Ekaitza;15 quai Maurice-Ravel;Ciboure; France;€€€;70;Creative, Modern Cuisine;-16674639;433852589;NO;NO
L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid;12 boulevard Mirabeau;Saint-Rémy-de-Provence; France;€€€€;100;Modern Cuisine;48333205;437885608;NO;SI
René et Maxime Meilleur;Hameau de Saint-Marcel;Saint-Martin-de-Belleville; France;€€€€;100;Creative, Regional Cuisine;65133065;453690463;NO;NO
Cyril Attrazic;10 route du Languedoc;Aumont-Aubrac; France;€€€€;100;Creative, Modern Cuisine;32877885;447169426;SI;NO
La Villa Archange;Rue de l'Ouest;Le Cannet; France;€€€€;100;Modern Cuisine;7014556;435716556;SI;SI
L'Auberge de Montmin;1983 route de Talloires;Talloires-Montmin; France;€€€€;100;Mediterranean Cuisine, Creative;62486842;458072811;NO;NO
Maison Rostang;20 rue Rennequin;Paris; France;€€€€;100;Classic Cuisine;22985363;48881407;NO;NO
Lalique;1707 route des Gourgues;Bommes; France;€€€€;100;Modern Cuisine;-3374123;445493811;SI;NO
Christophe Hay - Fleur de Loire;26 quai Villebois-Mareuil;Blois; France;€€€€;100;Modern Cuisine, Creative;13378048;475823386;SI;SI
La Grand'Vigne - Les Sources de Caudalie;Chemin de Smith-Haut-Lafitte;Martillac; France;€€€€;100;Modern Cuisine;-5571095;447310086;NO;NO
L'Observatoire du Gabriel;10 place de la Bourse;Bordeaux; France;€€€€;100;Modern Cuisine, Creative;-5707147;448413505;NO;NO
Maison Ronan Kervarrec;1 impasse du Vieux-Bourg;Saint-Grégoire; France;€€€€;100;Modern Cuisine;-16805561;481533015;NO;SI
La Voile - La Réserve Ramatuelle;Chemin de la Quessine;Ramatuelle; France;€€€€;100;Modern Cuisine;66481676;431923476;NO;SI
